N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
2mer-0+1,-3.12598419,4,-6.25196839,-6.25196839,9.001449e-03, 2.544 
2mer-0+2,-4.45422131,4,-8.90844262,-15.16041101,8.127517e-03, 2.632 
2mer-0+6,-7.64737314,4,-15.29474627,-30.45515728,7.702494e-03, 2.680 
2mer-0+16,-2.08300945,2,-2.08300945,-32.53816673,1.412501e-03, 4.716 
2mer-0+5,-0.25776972,2,-0.25776972,-32.79593645,1.216975e-03, 4.956 
2mer-0+21,-1.36639770,2,-1.36639770,-34.16233415,1.144258e-03, 5.059 
2mer-0+12,-0.30581347,4,-0.61162694,-34.77396110,1.080953e-03, 5.156 
2mer-0+14,-0.43427549,4,-0.86855099,-35.64251208,9.506992e-04, 5.382 
2mer-0+37,-0.05392776,2,-0.05392776,-35.69643985,8.840221e-04, 5.514 
2mer-0+15,-0.29632413,4,-0.59264826,-36.28908810,6.261051e-04, 6.186 
2mer-0+8,-0.11771585,4,-0.23543170,-36.52451981,6.236921e-04, 6.194 
2mer-0+10,-0.13017148,4,-0.26034297,-36.78486278,4.827827e-04, 6.746 
2mer-0+27,-0.22202485,4,-0.44404970,-37.22891248,3.528237e-04, 7.489 
2mer-0+18,-0.04002102,2,-0.04002102,-37.26893350,3.523333e-04, 7.492 
2mer-0+22,-0.04053824,2,-0.04053824,-37.30947174,3.505125e-04, 7.505 
2mer-0+45,-0.06714348,4,-0.13428696,-37.44375869,2.987386e-04, 7.916 
2mer-0+40,-0.13384508,4,-0.26769017,-37.71144886,2.902837e-04, 7.992 
2mer-0+60,-0.04342445,4,-0.08684890,-37.79829776,2.569059e-04, 8.324 
2mer-0+26,-0.11217447,2,-0.11217447,-37.91047223,2.364929e-04, 8.557 
2mer-0+43,-0.01072674,4,-0.02145348,-37.93192572,2.333832e-04, 8.595 
2mer-0+59,-0.00897632,4,-0.01795264,-37.94987836,2.207595e-04, 8.756 
2mer-0+32,-0.09990289,2,-0.09990289,-38.04978124,2.142829e-04, 8.843 
2mer-0+44,-0.00949013,2,-0.00949013,-38.05927137,2.040349e-04, 8.989 
2mer-0+39,-0.00718809,1,-0.00359405,-38.06286542,1.695377e-04, 9.561 
2mer-0+55,0.02618831,2,0.02618831,-38.03667711,1.624869e-04, 9.698 
2mer-0+33,-0.00415433,2,-0.00415433,-38.04083144,1.476099e-04,10.013 
2mer-0+47,-0.04245433,2,-0.04245433,-38.08328577,1.472482e-04,10.021 
2mer-0+34,-0.01702295,2,-0.01702295,-38.10030872,1.431179e-04,10.117 
2mer-0+64,-0.02487162,4,-0.04974324,-38.15005196,1.306538e-04,10.429 
2mer-0+54,-0.01058444,2,-0.01058444,-38.16063640,1.303341e-04,10.437 
2mer-0+58,-0.01550935,2,-0.01550935,-38.17614575,1.194838e-04,10.744 
2mer-0+52,-0.02746430,2,-0.02746430,-38.20361005,1.163359e-04,10.840 
2mer-0+98,-0.04711879,2,-0.04711879,-38.25072885,1.145894e-04,10.895 
2mer-0+77,-0.04040303,3,-0.06060454,-38.31133339,1.108473e-04,11.016 
2mer-0+95,-0.01346960,4,-0.02693920,-38.33827259,1.069138e-04,11.150 
2mer-0+132,-0.00794607,2,-0.00794607,-38.34621866,1.023768e-04,11.312 
2mer-0+80,-0.00378466,2,-0.00378466,-38.35000332,9.688024e-05,11.522 
2mer-0+57,-0.00638154,2,-0.00638154,-38.35638486,9.587804e-05,11.562 
2mer-0+129,-0.02928771,2,-0.02928771,-38.38567257,9.370198e-05,11.651 
2mer-0+94,-0.00036888,3,-0.00055332,-38.38622589,9.361866e-05,11.654 
2mer-0+63,-0.00199617,2,-0.00199617,-38.38822206,9.064675e-05,11.780 
2mer-0+153,-0.00856806,2,-0.00856806,-38.39679012,8.893838e-05,11.855 
2mer-0+88,-0.00085670,4,-0.00171340,-38.39850352,8.367519e-05,12.099 
2mer-0+104,-0.01768484,2,-0.01768484,-38.41618836,8.351303e-05,12.106 
2mer-0+82,-0.01176933,1,-0.00588466,-38.42207302,8.011105e-05,12.275 
2mer-0+71,-0.00886815,2,-0.00886815,-38.43094117,7.985817e-05,12.288 
2mer-0+102,-0.01154012,1,-0.00577006,-38.43671123,7.947901e-05,12.308 
2mer-0+74,-0.01340213,2,-0.01340213,-38.45011336,7.688576e-05,12.445 
2mer-0+119,-0.02835566,3,-0.04253349,-38.49264685,7.620951e-05,12.481 
2mer-0+147,0.00111741,1,0.00055871,-38.49208814,6.338558e-05,13.272 
2mer-0+127,-0.01169187,2,-0.01169187,-38.50378002,6.052864e-05,13.478 
2mer-0+89,-0.00790197,2,-0.00790197,-38.51168198,6.007389e-05,13.512 
2mer-0+116,-0.00656716,2,-0.00656716,-38.51824914,5.829474e-05,13.648 
2mer-0+113,-0.01439141,1,-0.00719571,-38.52544485,5.746100e-05,13.713 
2mer-0+137,-0.00522212,1,-0.00261106,-38.52805591,5.704305e-05,13.747 
2mer-0+123,-0.00855913,1,-0.00427956,-38.53233547,5.625858e-05,13.810 
2mer-0+106,-0.00472931,2,-0.00472931,-38.53706479,5.520033e-05,13.898 
2mer-0+145,-0.00023577,1,-0.00011788,-38.53718267,5.178484e-05,14.197 
2mer-0+93,-0.00168531,1,-0.00084265,-38.53802533,5.162710e-05,14.212 
2mer-0+121,0.00038726,2,0.00038726,-38.53763806,4.854035e-05,14.507 
2mer-0+155,-0.01148472,1,-0.00574236,-38.54338043,4.797668e-05,14.563 
2mer-0+109,-0.00201717,2,-0.00201717,-38.54539760,4.675616e-05,14.689 
2mer-0+136,-0.00226476,2,-0.00226476,-38.54766235,4.651702e-05,14.714 
2mer-0+143,-0.01038831,1,-0.00519416,-38.55285651,4.444464e-05,14.939 
2mer-0+161,-0.00962062,1,-0.00481031,-38.55766682,4.233111e-05,15.184 
2mer-0+135,0.00075746,1,0.00037873,-38.55728809,4.146952e-05,15.288 
2mer-0+125,-0.00262340,2,-0.00262340,-38.55991149,4.049275e-05,15.410 
2mer-0+159,-0.00195626,1,-0.00097813,-38.56088962,3.933340e-05,15.560 
2mer-0+141,0.00097327,1,0.00048664,-38.56040298,3.839140e-05,15.686 
2mer-0+150,-0.00763154,2,-0.00763154,-38.56803452,3.802900e-05,15.736 
2mer-0+144,-0.00425541,1,-0.00212770,-38.57016223,3.734765e-05,15.831 
2mer-0+148,-0.00557892,1,-0.00278946,-38.57295169,3.716021e-05,15.858 
2mer-0+156,-0.00431028,1,-0.00215514,-38.57510683,3.232156e-05,16.613 
3mer-0+1+13,0.28571606,6,0.57143212,-38.00367471,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+2,-0.09186466,6,-0.18372931,-38.18740403,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+3,-0.20807794,6,-0.41615587,-38.60355990,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+6,0.00043846,6,0.00087692,-38.60268298,5.635101e-07, 2.544  2.632  2.680 
3mer-0+2+3,-0.00921787,6,-0.01843573,-38.62111871,9.330492e-08, 2.632  2.632  4.716 
3mer-0+6+13,-0.45266712,6,-0.90533424,-39.52645295,8.380146e-08, 2.680  2.680  4.716 
3mer-0+1+5,-0.02389730,6,-0.04779460,-39.57424755,9.860669e-08, 2.544  2.544  4.956 
3mer-0+2+5,-0.05743963,6,-0.11487926,-39.68912681,8.038911e-08, 2.632  2.632  4.956 
3mer-0+1+4,0.06680426,6,0.13360853,-39.55551828,9.271478e-08, 2.544  2.544  5.059 
3mer-0+6+11,-0.44016475,6,-0.88032950,-40.43584779,6.788704e-08, 2.680  2.680  5.059 
3mer-0+1+7,-0.06133850,6,-0.12267700,-40.55852478,7.494636e-08, 2.544  2.680  5.156 
3mer-0+1+12,0.10740236,6,0.21480473,-40.34372005,7.494636e-08, 2.544  2.680  5.156 
3mer-0+2+17,0.00065165,6,0.00130330,-40.34241676,1.005284e-08, 2.632  5.059  5.156 
3mer-0+2+21,0.03572675,6,0.07145350,-40.27096326,1.005284e-08, 2.632  5.059  5.156 
3mer-0+5+12,-0.00125473,6,-0.00250945,-40.27347271,1.421985e-09, 4.956  5.156  5.156 
3mer-0+2+14,0.17437335,6,0.34874669,-39.92472602,5.951582e-08, 2.632  2.680  5.382 
3mer-0+2+28,-0.08995277,6,-0.17990554,-40.10463155,5.951582e-08, 2.632  2.680  5.382 
3mer-0+1+14,-0.01482725,6,-0.02965449,-40.13428605,1.208772e-08, 2.544  4.716  5.382 
3mer-0+1+16,0.05970229,6,0.11940457,-40.01488148,1.208772e-08, 2.544  4.716  5.382 
3mer-0+14+21,0.00260003,6,0.00520006,-40.00968141,1.034214e-09, 5.059  5.382  5.382 
3mer-0+6+12,-0.01849507,6,-0.03699014,-40.04667155,7.915552e-09, 2.680  5.156  5.382 
3mer-0+6+7,0.23474986,3,0.23474986,-39.81192169,5.244764e-08, 2.680  2.680  5.514 
3mer-0+16+25,0.02969703,6,0.05939405,-39.75252764,1.428815e-09, 4.716  5.059  5.514 
3mer-0+2+12,-0.00364918,6,-0.00729836,-39.75982600,7.766542e-09, 2.632  5.156  5.514 
3mer-0+2+41,0.00115364,6,0.00230729,-39.75751871,7.766542e-09, 2.632  5.156  5.514 
3mer-0+1+37,-0.01667324,6,-0.03334647,-39.79086518,7.565170e-09, 2.544  5.382  5.514 
3mer-0+2+7,-0.03984327,6,-0.07968654,-39.87055172,3.919553e-08, 2.632  2.680  6.186 
3mer-0+2+13,0.17595836,6,0.35191672,-39.51863500,3.919553e-08, 2.632  2.680  6.186 
3mer-0+1+19,-0.01479653,6,-0.02959306,-39.54822806,7.960649e-09, 2.544  4.716  6.186 
3mer-0+1+23,0.05391070,6,0.10782139,-39.44040666,7.960649e-09, 2.544  4.716  6.186 
3mer-0+15+23,-0.01002284,6,-0.02004569,-39.46045235,4.485579e-10, 5.059  6.186  6.186 
3mer-0+6+50,0.01988974,6,0.03977947,-39.42067288,5.212971e-09, 2.680  5.156  6.186 
3mer-0+5+14,0.00256643,6,0.00513285,-39.41554003,7.243890e-10, 4.956  5.382  6.186 
3mer-0+5+23,0.00311516,6,0.00623031,-39.40930972,7.243890e-10, 4.956  5.382  6.186 
3mer-0+1+15,-0.01072149,6,-0.02144298,-39.43075270,4.982219e-09, 2.544  5.514  6.186 
3mer-0+1+8,0.02533161,6,0.05066322,-39.38008949,4.562896e-08, 2.544  2.632  6.194 
3mer-0+1+9,-0.04576535,6,-0.09153069,-39.47162018,4.562896e-08, 2.544  2.632  6.194 
3mer-0+5+7,0.00803587,6,0.01607173,-39.45554845,5.846328e-09, 2.680  4.956  6.194 
3mer-0+5+8,-0.01091998,6,-0.02183996,-39.47738840,5.846328e-09, 2.680  4.956  6.194 
3mer-0+8+9,0.00501785,6,0.01003571,-39.46735269,5.494514e-10, 4.716  6.194  6.194 
3mer-0+8+15,-0.00202479,6,-0.00404957,-39.47140226,4.221086e-10, 5.156  6.186  6.194 
3mer-0+1+50,-0.01041536,6,-0.02083071,-39.49223298,6.068612e-09, 2.544  5.156  6.194 
3mer-0+2+8,-0.00887786,6,-0.01775573,-39.50998871,4.819159e-09, 2.632  5.382  6.194 
3mer-0+2+56,0.00483092,6,0.00966184,-39.50032687,3.173769e-09, 2.632  6.186  6.194 
3mer-0+1+29,-0.00054033,6,-0.00108066,-39.50140752,3.532011e-08, 2.544  2.632  6.746 
3mer-0+1+30,0.02870065,6,0.05740130,-39.44400622,3.532011e-08, 2.544  2.632  6.746 
3mer-0+5+6,0.03614237,6,0.07228473,-39.37172149,4.525480e-09, 2.680  4.956  6.746 
3mer-0+5+13,-0.00528618,6,-0.01057236,-39.38229385,4.525480e-09, 2.680  4.956  6.746 
3mer-0+10+16,-0.00075221,6,-0.00150441,-39.38379827,3.292246e-10, 4.716  6.746  6.746 
3mer-0+10+17,-0.00175226,6,-0.00350452,-39.38730278,4.961369e-10, 5.156  5.382  6.746 
3mer-0+8+10,0.00151150,6,0.00302300,-39.38427978,3.445451e-10, 5.059  6.194  6.746 
3mer-0+8+21,0.00438826,6,0.00877652,-39.37550326,3.445451e-10, 5.059  6.194  6.746 
3mer-0+1+10,0.00429033,6,0.00858066,-39.36692260,4.697544e-09, 2.544  5.156  6.746 
3mer-0+2+10,0.00137419,6,0.00274837,-39.36417423,3.730377e-09, 2.632  5.382  6.746 
3mer-0+8+37,-0.00236137,6,-0.00472275,-39.36889698,2.661859e-10, 5.514  6.194  6.746 
3mer-0+2+73,0.01544319,6,0.03088638,-39.33801060,2.456727e-09, 2.632  6.186  6.746 
3mer-0+1+11,0.01637787,6,0.03275573,-39.30525487,2.446254e-08, 2.544  2.680  7.489 
3mer-0+1+27,-0.17268331,6,-0.34536662,-39.65062149,2.446254e-08, 2.544  2.680  7.489 
3mer-0+12+16,0.00509583,6,0.01019166,-39.64042983,5.387077e-10, 4.716  5.156  7.489 
3mer-0+12+27,0.01264887,6,0.02529774,-39.61513209,5.387077e-10, 4.716  5.156  7.489 
3mer-0+2+25,-0.01019298,6,-0.02038595,-39.63551804,3.281253e-09, 2.632  5.059  7.489 
3mer-0+2+27,0.01358722,6,0.02717445,-39.60834360,3.281253e-09, 2.632  5.059  7.489 
3mer-0+6+28,-0.00120852,6,-0.00241703,-39.61076063,2.583641e-09, 2.680  5.382  7.489 
