N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
2mer-0+1,-7.52448951,4,-15.04897903,-15.04897903,9.001449e-03, 2.544 
2mer-0+2,-10.57186415,4,-21.14372830,-36.19270733,8.127517e-03, 2.632 
2mer-0+6,-16.88959605,4,-33.77919210,-69.97189943,7.702494e-03, 2.680 
2mer-0+16,-1.74263915,2,-1.74263915,-71.71453858,1.412501e-03, 4.716 
2mer-0+5,-0.16958102,2,-0.16958102,-71.88411960,1.216975e-03, 4.956 
2mer-0+21,-1.09949650,2,-1.09949650,-72.98361610,1.144258e-03, 5.059 
2mer-0+12,-0.21832946,4,-0.43665892,-73.42027503,1.080953e-03, 5.156 
2mer-0+14,-0.33313101,4,-0.66626202,-74.08653704,9.506992e-04, 5.382 
2mer-0+37,0.00481858,2,0.00481858,-74.08171846,8.840221e-04, 5.514 
2mer-0+15,-0.20982704,4,-0.41965409,-74.50137255,6.261051e-04, 6.186 
2mer-0+8,-0.07818187,4,-0.15636373,-74.65773628,6.236921e-04, 6.194 
2mer-0+10,-0.09627392,4,-0.19254784,-74.85028412,4.827827e-04, 6.746 
2mer-0+27,-0.15910186,4,-0.31820373,-75.16848785,3.528237e-04, 7.489 
2mer-0+18,-0.01829264,2,-0.01829264,-75.18678050,3.523333e-04, 7.492 
2mer-0+22,-0.02260975,2,-0.02260975,-75.20939025,3.505125e-04, 7.505 
2mer-0+45,-0.03863239,4,-0.07726478,-75.28665503,2.987386e-04, 7.916 
2mer-0+40,-0.11068818,4,-0.22137635,-75.50803138,2.902837e-04, 7.992 
2mer-0+60,-0.02451613,4,-0.04903226,-75.55706364,2.569059e-04, 8.324 
2mer-0+26,-0.09328663,2,-0.09328663,-75.65035026,2.364929e-04, 8.557 
2mer-0+43,0.00471303,4,0.00942607,-75.64092419,2.333832e-04, 8.595 
2mer-0+59,-0.00094439,4,-0.00188878,-75.64281298,2.207595e-04, 8.756 
2mer-0+32,-0.08435258,2,-0.08435258,-75.72716556,2.142829e-04, 8.843 
2mer-0+44,-0.00222406,2,-0.00222406,-75.72938962,2.040349e-04, 8.989 
2mer-0+39,0.00011841,1,0.00005921,-75.72933041,1.695377e-04, 9.561 
2mer-0+55,0.06383929,2,0.06383929,-75.66549113,1.624869e-04, 9.698 
2mer-0+33,0.00110534,2,0.00110534,-75.66438579,1.476099e-04,10.013 
2mer-0+47,-0.03575379,2,-0.03575379,-75.70013958,1.472482e-04,10.021 
2mer-0+34,-0.01219676,2,-0.01219676,-75.71233634,1.431179e-04,10.117 
2mer-0+64,-0.01840633,4,-0.03681266,-75.74914900,1.306538e-04,10.429 
2mer-0+54,-0.00539540,2,-0.00539540,-75.75454440,1.303341e-04,10.437 
2mer-0+58,-0.01130488,2,-0.01130488,-75.76584927,1.194838e-04,10.744 
2mer-0+52,-0.02249239,2,-0.02249239,-75.78834167,1.163359e-04,10.840 
