N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+1+13,0.00000000,6,0.00000000,0.00000000,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+2,0.00000000,6,0.00000000,0.00000000,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+3,0.00000000,6,0.00000000,0.00000000,5.635101e-07, 2.544  2.632  2.680 
3mer-0+1+6,0.00000000,6,0.00000000,0.00000000,5.635101e-07, 2.544  2.632  2.680 
3mer-0+2+3,0.00000000,6,0.00000000,0.00000000,9.330492e-08, 2.632  2.632  4.716 
3mer-0+6+13,0.00000000,6,0.00000000,0.00000000,8.380146e-08, 2.680  2.680  4.716 
3mer-0+1+5,0.00000000,6,0.00000000,0.00000000,9.860669e-08, 2.544  2.544  4.956 
3mer-0+2+5,0.00000000,6,0.00000000,0.00000000,8.038911e-08, 2.632  2.632  4.956 
3mer-0+1+4,0.00000000,6,0.00000000,0.00000000,9.271478e-08, 2.544  2.544  5.059 
3mer-0+6+11,0.00000000,6,0.00000000,0.00000000,6.788704e-08, 2.680  2.680  5.059 
3mer-0+1+7,0.00000000,6,0.00000000,0.00000000,7.494636e-08, 2.544  2.680  5.156 
3mer-0+1+12,0.00000000,6,0.00000000,0.00000000,7.494636e-08, 2.544  2.680  5.156 
3mer-0+2+17,0.00000000,6,0.00000000,0.00000000,1.005284e-08, 2.632  5.059  5.156 
3mer-0+2+21,0.00000000,6,0.00000000,0.00000000,1.005284e-08, 2.632  5.059  5.156 
3mer-0+5+12,0.00000000,6,0.00000000,0.00000000,1.421985e-09, 4.956  5.156  5.156 
3mer-0+2+14,0.00000000,6,0.00000000,0.00000000,5.951582e-08, 2.632  2.680  5.382 
3mer-0+2+28,0.00000000,6,0.00000000,0.00000000,5.951582e-08, 2.632  2.680  5.382 
3mer-0+1+14,0.00000000,6,0.00000000,0.00000000,1.208772e-08, 2.544  4.716  5.382 
3mer-0+1+16,0.00000000,6,0.00000000,0.00000000,1.208772e-08, 2.544  4.716  5.382 
3mer-0+14+21,0.00000000,6,0.00000000,0.00000000,1.034214e-09, 5.059  5.382  5.382 
3mer-0+6+12,0.00000000,6,0.00000000,0.00000000,7.915552e-09, 2.680  5.156  5.382 
3mer-0+6+7,0.00000000,3,0.00000000,0.00000000,5.244764e-08, 2.680  2.680  5.514 
3mer-0+16+25,0.00000000,6,0.00000000,0.00000000,1.428815e-09, 4.716  5.059  5.514 
3mer-0+2+12,0.00000000,6,0.00000000,0.00000000,7.766542e-09, 2.632  5.156  5.514 
3mer-0+2+41,0.00000000,6,0.00000000,0.00000000,7.766542e-09, 2.632  5.156  5.514 
3mer-0+1+37,0.00000000,6,0.00000000,0.00000000,7.565170e-09, 2.544  5.382  5.514 
3mer-0+2+7,0.00000000,6,0.00000000,0.00000000,3.919553e-08, 2.632  2.680  6.186 
3mer-0+2+13,0.00000000,6,0.00000000,0.00000000,3.919553e-08, 2.632  2.680  6.186 
3mer-0+1+19,0.00000000,6,0.00000000,0.00000000,7.960649e-09, 2.544  4.716  6.186 
3mer-0+1+23,0.00000000,6,0.00000000,0.00000000,7.960649e-09, 2.544  4.716  6.186 
3mer-0+15+23,0.00000000,6,0.00000000,0.00000000,4.485579e-10, 5.059  6.186  6.186 
3mer-0+6+50,0.00000000,6,0.00000000,0.00000000,5.212971e-09, 2.680  5.156  6.186 
3mer-0+5+14,0.00000000,6,0.00000000,0.00000000,7.243890e-10, 4.956  5.382  6.186 
3mer-0+5+23,0.00000000,6,0.00000000,0.00000000,7.243890e-10, 4.956  5.382  6.186 
3mer-0+1+15,0.00000000,6,0.00000000,0.00000000,4.982219e-09, 2.544  5.514  6.186 
3mer-0+1+8,0.00000000,6,0.00000000,0.00000000,4.562896e-08, 2.544  2.632  6.194 
3mer-0+1+9,0.00000000,6,0.00000000,0.00000000,4.562896e-08, 2.544  2.632  6.194 
