Name,Replicas,EFP_Elst,EFP_Rep,EFP_Pol,EFP_Disp,EFP_CT,EFP_TOT
2mer-0+1,4,-0.0007962013,0.0021752275,-7.22013e-05,-0.0027711182,0.0,-0.0014642934
2mer-0+2,4,-0.001418007,0.0029696239,-8.07094e-05,-0.0032782532,0.0,-0.0018073458
2mer-0+6,4,-0.0024258271,0.0051202951,-0.0002900238,-0.0054989544,-9.64811e-05,-0.0031909912
2mer-0+16,2,-0.0001917461,6.95058e-05,-1.56542e-05,-0.0006554819,0.0,-0.0007933765
2mer-0+5,2,1.44359e-05,5.482e-07,-6.774e-07,-0.000112486,0.0,-9.81793e-05
2mer-0+21,2,-0.0001385924,1.83161e-05,-8.5752e-06,-0.0003915819,0.0,-0.0005204333
2mer-0+12,4,-5.6563e-06,3.942e-07,-7.121e-07,-0.0001107411,0.0,-0.0001167153
2mer-0+14,4,-3.46288e-05,6.471e-07,-1.5479e-06,-0.0001295724,0.0,-0.000165102
2mer-0+37,2,5.36011e-05,1.106e-07,-8.072e-07,-7.34445e-05,0.0,-2.054e-05
2mer-0+15,4,-3.3457e-06,1.746e-07,-1.6484e-06,-0.0001075346,0.0,-0.0001123541
2mer-0+8,4,3.7588e-06,2.25e-08,-3.062e-07,-4.73598e-05,0.0,-4.38847e-05
2mer-0+10,4,-6.3013e-06,5.3e-09,-3.424e-07,-4.32106e-05,0.0,-4.98491e-05
2mer-0+27,4,-5.7784e-06,1.6e-09,-1.3053e-06,-7.74759e-05,0.0,-8.4558e-05
2mer-0+18,2,1.19699e-05,1.3e-09,-1.452e-07,-2.70692e-05,0.0,-1.52432e-05
2mer-0+22,2,6.9431e-06,6e-10,-8.59e-08,-2.22979e-05,0.0,-1.54402e-05
2mer-0+45,4,9.8591e-06,4e-10,-3.03e-07,-3.51534e-05,0.0,-2.55969e-05
2mer-0+40,4,-2.18372e-05,0.0,-2.21e-07,-2.88996e-05,0.0,-5.09578e-05
2mer-0+60,4,6.9719e-06,1e-10,-1.781e-07,-2.34232e-05,0.0,-1.66294e-05
2mer-0+26,2,-1.87519e-05,0.0,-1.388e-07,-2.38343e-05,0.0,-4.2725e-05
2mer-0+43,4,1.49118e-05,0.0,-9.48e-08,-1.89639e-05,0.0,-4.1468e-06
2mer-0+59,4,6.9604e-06,0.0,-5.13e-08,-1.05821e-05,0.0,-3.6731e-06
2mer-0+32,2,-1.83051e-05,0.0,-1.145e-07,-1.96315e-05,0.0,-3.8051e-05
2mer-0+44,2,5.4184e-06,0.0,-3.9e-08,-8.994e-06,0.0,-3.6146e-06
2mer-0+39,1,6.3209e-06,0.0,-3.43e-08,-9.0244e-06,0.0,-2.7378e-06
2mer-0+55,2,5.5486e-05,-1e-10,-7.686e-07,-4.47427e-05,0.0,9.9746e-06
2mer-0+33,2,4.8006e-06,0.0,-1.99e-08,-6.2662e-06,0.0,-1.4855e-06
