Name,Replicas,EFP_Elst,EFP_Rep,EFP_Pol,EFP_Disp,EFP_CT,EFP_TOT
2mer-0+1,4,-0.0007981709,0.0023417874,-6.81245e-05,-0.0026757304,0.0,-0.0012002383
2mer-0+2,4,-0.0014232713,0.0030380478,-8.41101e-05,-0.0032334021,0.0,-0.0017027357
2mer-0+6,4,-0.0024346573,0.0051554028,-0.0003128008,-0.0053798494,-9.65728e-05,-0.0030684776
2mer-0+16,2,-0.0001924997,7.08691e-05,-1.57359e-05,-0.0006556296,0.0,-0.0007929962
2mer-0+5,2,1.44868e-05,5.984e-07,-6.812e-07,-0.0001124991,0.0,-9.80952e-05
2mer-0+21,2,-0.0001391712,1.8806e-05,-8.6197e-06,-0.0003916705,0.0,-0.0005206554
2mer-0+12,4,-5.6984e-06,4.309e-07,-7.235e-07,-0.0001104818,0.0,-0.0001164727
2mer-0+14,4,-3.48528e-05,7.339e-07,-1.5632e-06,-0.0001298876,0.0,-0.0001655696
2mer-0+37,2,5.38739e-05,1.819e-07,-8.112e-07,-7.34576e-05,0.0,-2.02131e-05
2mer-0+15,4,-3.381e-06,1.961e-07,-1.6153e-06,-0.000108114,0.0,-0.0001129142
2mer-0+8,4,3.7828e-06,3.3e-08,-3.098e-07,-4.832e-05,0.0,-4.4814e-05
2mer-0+10,4,-6.336e-06,8.9e-09,-3.353e-07,-4.2959e-05,0.0,-4.96215e-05
2mer-0+27,4,-5.8085e-06,2.9e-09,-1.2918e-06,-7.75276e-05,0.0,-8.4625e-05
2mer-0+18,2,1.20331e-05,2.4e-09,-1.46e-07,-2.70749e-05,0.0,-1.51854e-05
2mer-0+22,2,6.9835e-06,1e-09,-8.64e-08,-2.2303e-05,0.0,-1.54049e-05
2mer-0+45,4,9.9115e-06,9e-10,-3.111e-07,-3.51325e-05,0.0,-2.55312e-05
2mer-0+40,4,-2.19509e-05,1e-10,-2.295e-07,-2.89204e-05,0.0,-5.11006e-05
2mer-0+60,4,7.0064e-06,1e-10,-1.846e-07,-2.33336e-05,0.0,-1.65117e-05
2mer-0+26,2,-1.88579e-05,1e-10,-1.396e-07,-2.384e-05,0.0,-4.28374e-05
2mer-0+43,4,1.49858e-05,0.0,-9.61e-08,-1.89066e-05,0.0,-4.0168e-06
2mer-0+59,4,6.9957e-06,0.0,-5.43e-08,-1.03275e-05,0.0,-3.3861e-06
2mer-0+32,2,-1.83996e-05,0.0,-1.151e-07,-1.96363e-05,0.0,-3.8151e-05
2mer-0+44,2,5.4458e-06,0.0,-3.92e-08,-8.996e-06,0.0,-3.5893e-06
2mer-0+39,1,6.3558e-06,0.0,-3.45e-08,-9.0267e-06,0.0,-2.7053e-06
2mer-0+55,2,5.5755e-05,-1e-10,-7.726e-07,-4.4758e-05,0.0,1.02243e-05
2mer-0+33,2,4.8262e-06,0.0,-1.96e-08,-6.3651e-06,0.0,-1.5585e-06
2mer-0+47,2,-7.717e-06,0.0,-2.47e-08,-8.4718e-06,0.0,-1.62134e-05
2mer-0+34,2,-3.627e-07,0.0,-2.01e-08,-6.1032e-06,0.0,-6.4861e-06
2mer-0+64,4,-1.3956e-06,0.0,-4.37e-08,-8.0418e-06,0.0,-9.4812e-06
2mer-0+54,2,2.5008e-06,0.0,-2.26e-08,-6.4988e-06,0.0,-4.0206e-06
2mer-0+58,2,-6.46e-07,0.0,-1.66e-08,-5.2489e-06,0.0,-5.9115e-06
2mer-0+52,2,-4.1407e-06,0.0,-3.72e-08,-6.3062e-06,0.0,-1.04841e-05
2mer-0+98,2,-9.3603e-06,0.0,-4.87e-08,-8.5846e-06,0.0,-1.79936e-05
2mer-0+77,3,-7.6119e-06,0.0,-6.95e-08,-7.7502e-06,0.0,-1.54316e-05
2mer-0+95,4,4.95e-08,0.0,-2.16e-08,-5.16e-06,0.0,-5.1322e-06
2mer-0+132,2,1.2166e-06,0.0,-1.11e-08,-4.2276e-06,0.0,-3.0222e-06
2mer-0+80,2,3.4554e-06,0.0,-2.09e-08,-4.8597e-06,0.0,-1.4252e-06
2mer-0+57,2,9.42e-07,0.0,-1.07e-08,-3.3581e-06,0.0,-2.4268e-06
2mer-0+129,2,-5.9559e-06,0.0,-2.49e-08,-5.2054e-06,0.0,-1.11862e-05
2mer-0+94,3,4.8514e-06,0.0,-2.21e-08,-4.9464e-06,0.0,-1.171e-07
2mer-0+63,2,2.3297e-06,0.0,-7.7e-09,-3.0706e-06,0.0,-7.486e-07
2mer-0+153,2,-1.658e-07,0.0,-6e-09,-3.0934e-06,0.0,-3.2652e-06
2mer-0+88,4,8.1562e-06,0.0,-8.05e-08,-8.3645e-06,0.0,-2.887e-07
2mer-0+104,2,-3.2336e-06,0.0,-7.8e-09,-3.5115e-06,0.0,-6.7529e-06
2mer-0+82,1,2.9482e-06,0.0,-6.77e-08,-7.3489e-06,0.0,-4.4683e-06
2mer-0+71,2,-1.881e-07,0.0,-9.4e-09,-3.1818e-06,0.0,-3.3794e-06
2mer-0+102,1,-1.6578e-06,0.0,-4.5e-09,-2.7425e-06,0.0,-4.4048e-06
2mer-0+74,2,-2.124e-06,0.0,-6.6e-09,-2.9871e-06,0.0,-5.1177e-06
2mer-0+119,3,-6.2201e-06,0.0,-3.78e-08,-4.5742e-06,0.0,-1.08321e-05
2mer-0+147,1,2.0319e-06,0.0,-4.8e-09,-1.5916e-06,0.0,4.355e-07
2mer-0+127,2,-1.1954e-06,0.0,-1.91e-08,-3.2455e-06,0.0,-4.4601e-06
2mer-0+89,2,-1.0304e-06,0.0,-3.6e-09,-1.9819e-06,0.0,-3.0159e-06
2mer-0+116,2,-7.584e-07,0.0,-4.7e-09,-1.7431e-06,0.0,-2.5062e-06
2mer-0+113,1,-2.91e-06,0.0,-1.05e-08,-2.5772e-06,0.0,-5.4976e-06
2mer-0+137,1,-4.191e-07,0.0,-2e-09,-1.5708e-06,0.0,-1.9919e-06
2mer-0+123,1,-1.3417e-06,0.0,-2.4e-09,-1.9238e-06,0.0,-3.2679e-06
2mer-0+106,2,-1.481e-07,0.0,-3.8e-09,-1.6507e-06,0.0,-1.8027e-06
2mer-0+145,1,1.1884e-06,0.0,-2.6e-09,-1.2695e-06,0.0,-8.36e-08
2mer-0+93,1,6.126e-07,0.0,-1.9e-09,-1.2498e-06,0.0,-6.392e-07
2mer-0+121,2,1.3612e-06,0.0,-2.7e-09,-1.204e-06,0.0,1.544e-07
2mer-0+155,1,-2.5585e-06,0.0,-6.7e-09,-1.822e-06,0.0,-4.3872e-06
2mer-0+109,2,2.598e-07,0.0,-2e-09,-1.0249e-06,0.0,-7.671e-07
2mer-0+136,2,2.459e-07,0.0,-2.2e-09,-1.1053e-06,0.0,-8.616e-07
2mer-0+143,1,-2.2861e-06,0.0,-9.3e-09,-1.6731e-06,0.0,-3.9686e-06
2mer-0+161,1,-2.1727e-06,0.0,-4.2e-09,-1.499e-06,0.0,-3.6759e-06
2mer-0+135,1,1.1031e-06,0.0,-1.5e-09,-8.071e-07,0.0,2.944e-07
2mer-0+125,2,3e-09,0.0,-1.9e-09,-1.0008e-06,0.0,-9.998e-07
2mer-0+159,1,1.277e-07,0.0,-1.8e-09,-8.708e-07,0.0,-7.449e-07
2mer-0+141,1,1.2373e-06,0.0,-1.9e-09,-8.584e-07,0.0,3.77e-07
2mer-0+150,2,-1.7616e-06,0.0,-3.5e-09,-1.1511e-06,0.0,-2.9163e-06
2mer-0+144,1,-7.839e-07,0.0,-8e-10,-8.407e-07,0.0,-1.6255e-06
2mer-0+148,1,-1.0581e-06,0.0,-3.3e-09,-1.0697e-06,0.0,-2.1312e-06
2mer-0+156,1,-8.577e-07,0.0,-8e-10,-7.881e-07,0.0,-1.6466e-06
