Name,Replicas,EFP_Elst,EFP_Rep,EFP_Pol,EFP_Disp,EFP_CT,EFP_TOT
2mer-0+1,4,-0.0007981709,-6.11054e-05,-6.21492e-05,-0.0019445012,0.0,-0.0028659267
2mer-0+2,4,-0.0014232713,-0.0002232862,-6.46022e-05,-0.0023154508,0.0,-0.0040266105
2mer-0+6,4,-0.0024346573,0.0001190865,-0.0002349053,-0.0038314139,-5.10173e-05,-0.0064329073
2mer-0+16,2,-0.0001924997,-2.5405e-06,-1.36372e-05,-0.0004550588,0.0,-0.0006637362
2mer-0+5,2,1.44868e-05,-1e-08,-4.624e-07,-7.86044e-05,0.0,-6.459e-05
2mer-0+21,2,-0.0001391712,-2.091e-07,-7.5866e-06,-0.0002718092,0.0,-0.0004187761
2mer-0+12,4,-5.6984e-06,-3.5e-09,-4.816e-07,-7.69738e-05,0.0,-8.31573e-05
2mer-0+14,4,-3.48528e-05,-2.9e-09,-1.3159e-06,-9.07113e-05,0.0,-0.0001268829
2mer-0+37,2,5.38739e-05,-4e-10,-7.356e-07,-5.13027e-05,0.0,1.8353e-06
2mer-0+15,4,-3.381e-06,-1e-10,-1.2868e-06,-7.52511e-05,0.0,-7.99189e-05
2mer-0+8,4,3.7828e-06,0.0,-2.746e-07,-3.32862e-05,0.0,-2.97779e-05
2mer-0+10,4,-6.336e-06,0.0,-2.895e-07,-3.00433e-05,0.0,-3.66688e-05
2mer-0+27,4,-5.8085e-06,0.0,-1.0979e-06,-5.36923e-05,0.0,-6.05987e-05
2mer-0+18,2,1.20331e-05,0.0,-1.144e-07,-1.8886e-05,0.0,-6.9673e-06
2mer-0+22,2,6.9835e-06,0.0,-6.32e-08,-1.55318e-05,0.0,-8.6116e-06
2mer-0+45,4,9.9115e-06,0.0,-2.219e-07,-2.44039e-05,0.0,-1.47143e-05
2mer-0+40,4,-2.19509e-05,0.0,-1.882e-07,-2.00198e-05,0.0,-4.21589e-05
2mer-0+60,4,7.0064e-06,0.0,-1.378e-07,-1.62063e-05,0.0,-9.3377e-06
2mer-0+26,2,-1.88579e-05,0.0,-1.134e-07,-1.65597e-05,0.0,-3.5531e-05
2mer-0+43,4,1.49858e-05,0.0,-6.95e-08,-1.31212e-05,0.0,1.7951e-06
2mer-0+59,4,6.9957e-06,0.0,-4.48e-08,-7.3105e-06,0.0,-3.597e-07
2mer-0+32,2,-1.83996e-05,0.0,-9.29e-08,-1.36357e-05,0.0,-3.21282e-05
2mer-0+44,2,5.4458e-06,0.0,-3.1e-08,-6.262e-06,0.0,-8.471e-07
2mer-0+39,1,6.3558e-06,0.0,-2.88e-08,-6.2819e-06,0.0,4.51e-08
2mer-0+55,2,5.5755e-05,0.0,-4.667e-07,-3.09732e-05,0.0,2.43151e-05
2mer-0+33,2,4.8262e-06,0.0,-1.6e-08,-4.3892e-06,0.0,4.21e-07
2mer-0+47,2,-7.717e-06,0.0,-1.67e-08,-5.8842e-06,0.0,-1.36179e-05
2mer-0+34,2,-3.627e-07,0.0,-1.75e-08,-4.2652e-06,0.0,-4.6455e-06
2mer-0+64,4,-1.3956e-06,0.0,-3.58e-08,-5.5792e-06,0.0,-7.0106e-06
2mer-0+54,2,2.5008e-06,0.0,-1.93e-08,-4.5365e-06,0.0,-2.055e-06
2mer-0+58,2,-6.46e-07,0.0,-1.43e-08,-3.6454e-06,0.0,-4.3058e-06
2mer-0+52,2,-4.1407e-06,0.0,-3.02e-08,-4.396e-06,0.0,-8.5669e-06
2mer-0+98,2,-9.3603e-06,0.0,-4.17e-08,-5.9501e-06,0.0,-1.53521e-05
2mer-0+77,3,-7.6119e-06,0.0,-5.88e-08,-5.3779e-06,0.0,-1.30486e-05
2mer-0+95,4,4.95e-08,0.0,-1.81e-08,-3.5838e-06,0.0,-3.5524e-06
2mer-0+132,2,1.2166e-06,0.0,-7.6e-09,-2.941e-06,0.0,-1.732e-06
2mer-0+80,2,3.4554e-06,0.0,-1.53e-08,-3.3786e-06,0.0,6.15e-08
2mer-0+57,2,9.42e-07,0.0,-9.7e-09,-2.307e-06,0.0,-1.3747e-06
2mer-0+129,2,-5.9559e-06,0.0,-2.14e-08,-3.6066e-06,0.0,-9.5838e-06
2mer-0+94,3,4.8514e-06,0.0,-1.48e-08,-3.4188e-06,0.0,1.4178e-06
2mer-0+63,2,2.3297e-06,0.0,-6.1e-09,-2.1282e-06,0.0,1.954e-07
2mer-0+153,2,-1.658e-07,0.0,-3.5e-09,-2.1503e-06,0.0,-2.3196e-06
2mer-0+88,4,8.1562e-06,0.0,-5.76e-08,-5.786e-06,0.0,2.3127e-06
2mer-0+104,2,-3.2336e-06,0.0,-5.1e-09,-2.4364e-06,0.0,-5.675e-06
2mer-0+82,1,2.9482e-06,0.0,-5.38e-08,-5.079e-06,0.0,-2.1845e-06
2mer-0+71,2,-1.881e-07,0.0,-8.1e-09,-2.2007e-06,0.0,-2.3969e-06
2mer-0+102,1,-1.6578e-06,0.0,-2.1e-09,-1.9052e-06,0.0,-3.5651e-06
2mer-0+74,2,-2.124e-06,0.0,-4.2e-09,-2.0689e-06,0.0,-4.1971e-06
2mer-0+119,3,-6.2201e-06,0.0,-3.07e-08,-3.1813e-06,0.0,-9.4321e-06
2mer-0+147,1,2.0319e-06,0.0,-4.2e-09,-1.1054e-06,0.0,9.224e-07
2mer-0+127,2,-1.1954e-06,0.0,-1.62e-08,-2.2432e-06,0.0,-3.4548e-06
2mer-0+89,2,-1.0304e-06,0.0,-2.2e-09,-1.3764e-06,0.0,-2.409e-06
2mer-0+116,2,-7.584e-07,0.0,-4e-09,-1.2124e-06,0.0,-1.9748e-06
2mer-0+113,1,-2.91e-06,0.0,-9.1e-09,-1.7847e-06,0.0,-4.7037e-06
2mer-0+137,1,-4.191e-07,0.0,-1.1e-09,-1.0905e-06,0.0,-1.5106e-06
2mer-0+123,1,-1.3417e-06,0.0,-1.2e-09,-1.3358e-06,0.0,-2.6786e-06
2mer-0+106,2,-1.481e-07,0.0,-3.2e-09,-1.1395e-06,0.0,-1.2909e-06
2mer-0+145,1,1.1884e-06,0.0,-2.1e-09,-8.813e-07,0.0,3.05e-07
2mer-0+93,1,6.126e-07,0.0,-1.4e-09,-8.678e-07,0.0,-2.566e-07
2mer-0+121,2,1.3612e-06,0.0,-2.3e-09,-8.418e-07,0.0,5.171e-07
2mer-0+155,1,-2.5585e-06,0.0,-5.8e-09,-1.2616e-06,0.0,-3.8259e-06
2mer-0+109,2,2.598e-07,0.0,-1.8e-09,-7.024e-07,0.0,-4.444e-07
2mer-0+136,2,2.459e-07,0.0,-1.9e-09,-7.58e-07,0.0,-5.14e-07
2mer-0+143,1,-2.2861e-06,0.0,-7.4e-09,-1.1622e-06,0.0,-3.4558e-06
2mer-0+161,1,-2.1727e-06,0.0,-3.5e-09,-1.0386e-06,0.0,-3.2148e-06
2mer-0+135,1,1.1031e-06,0.0,-1.4e-09,-5.6e-07,0.0,5.418e-07
2mer-0+125,2,3e-09,0.0,-1.6e-09,-6.928e-07,0.0,-6.915e-07
2mer-0+159,1,1.277e-07,0.0,-1.5e-09,-6.01e-07,0.0,-4.749e-07
2mer-0+141,1,1.2373e-06,0.0,-1.7e-09,-5.959e-07,0.0,6.398e-07
2mer-0+150,2,-1.7616e-06,0.0,-2.9e-09,-7.968e-07,0.0,-2.5614e-06
2mer-0+144,1,-7.839e-07,0.0,-4e-10,-5.831e-07,0.0,-1.3675e-06
2mer-0+148,1,-1.0581e-06,0.0,-2.7e-09,-7.4e-07,0.0,-1.8008e-06
2mer-0+156,1,-8.577e-07,0.0,-4e-10,-5.467e-07,0.0,-1.4048e-06
